flashJedecID,flashSize
ef4014,1
ef4015,2
ef4016,4
ef6014,1
ef6015,2
ef6016,4
ef6018,16
ef8016,4
ef7015,2
ef7018,16
5e3213,0.5
5e3214,1
5e3415,2
5e6013,0.5
5e6014,1
5e6015,2
5e4015,2
5e4016,4
514013,0.5
c84014,1
c84015,2
c84016,4
c84018,16
c86014,1
c86015,2
c86016,4
c86017,8
c86514,1
c86515,2
c86516,4
c22013,0.5
c22014,1
c22015,2
c22534,1
c22535,2
c22536,4
0b4013,0.5
0b4015,2
0b4016,4
0b6014,1
0b6016,4
684013,0.5
684014,1
684015,2
684016,4
684017,8
684018,16
204014,1
204015,2
204016,4
204017,8
a14014,1
eb6015,2
856014,1
856015,2
856016,4
9d6014,1
9d6015,2
9d6016,4
9d7014,1
9d7015,2
9d7016,4
